Day,TotalConfirmed,Discharged,Deaths,Active
2020-03-10,47,0,0,47
2020-03-11,60,0,0,60
2020-03-12,73,0,0,73
2020-03-13,82,10,2,70
2020-03-14,84,10,2,72
2020-03-15,110,13,2,95
2020-03-16,114,13,2,99
2020-03-17,137,14,3,120
2020-03-18,151,14,3,134
2020-03-19,173,20,4,149
2020-03-20,223,23,4,196
2020-03-21,283,23,4,256
2020-03-22,360,24,7,329
2020-03-23,467,35,8,424
2020-03-24,519,40,10,469
2020-03-25,606,43,10,553
2020-03-26,694,45,15,634
2020-03-27,724,67,17,640
2020-03-28,909,80,19,810
2020-03-29,1024,96,27,901
2020-03-30,1251,102,31,1118
2020-03-31,1397,124,35,1238
2020-04-01,1834,144,41,1649
2020-04-02,2069,156,53,1860
2020-04-03,2547,163,62,2322
2020-04-04,3072,213,75,2784
2020-04-05,3577,275,83,3219
2020-04-06,4281,319,111,3851
2020-04-07,4789,353,124,4312
2020-04-08,5274,411,149,4714
2020-04-09,5865,478,169,5218
2020-04-10,6761,516,206,6039
2020-04-11,7529,653,242,6634
2020-04-12,8447,765,273,7409
2020-04-13,9352,980,324,8048
2020-04-14,10815,1190,353,9272
2020-04-15,11933,1344,392,10197
2020-04-16,12759,1515,420,10824
2020-04-17,13835,1767,452,11616
2020-04-18,14792,2015,488,12289
2020-04-19,16116,2302,519,13295
2020-04-20,17656,2842,559,14255
2020-04-21,18985,3260,603,15122
2020-04-22,20471,3960,652,15859
2020-04-23,21700,4325,686,16689
2020-04-24,23452,4814,723,17915
2020-04-25,24942,5210,779,18953
2020-04-26,26917,5914,826,20177
2020-04-27,28380,6362,886,21132
2020-04-28,29974,7027,937,22010
2020-04-29,31709,7797,1008,22904
2020-04-30,33610,8373,1075,24162
2020-05-01,35365,9065,1152,25148
2020-05-02,37776,10018,1223,26535
2020-05-03,40263,10887,1306,28070
2020-05-04,42836,11762,1389,29685
2020-05-05,46711,13161,1583,31967
2020-05-06,49391,14183,1694,33514
2020-05-07,52952,15267,1783,35902
2020-05-08,56342,16540,1886,37916
2020-05-09,59662,17847,1981,39834
2020-05-10,62939,19358,2109,41472
2020-05-11,67152,20917,2206,44029
2020-05-12,70756,22455,2293,46008
2020-05-13,74281,24386,2415,47480
2020-05-14,78003,26235,2549,49219
2020-05-15,81970,27920,2649,51401
2020-05-16,85710,30153,2752,52805
2020-05-17,90927,34109,2872,53946
2020-05-18,96169,36824,3029,56316
2020-05-19,101139,39174,3163,58802
2020-05-20,106750,42298,3303,61149
2020-05-21,112359,45300,3435,63624
2020-05-22,118447,48534,3583,66330
2020-05-23,125101,51784,3720,69597
2020-05-24,131868,54441,3867,73560
2020-05-25,138845,57721,4021,77103
2020-05-26,145380,60491,4167,80722
2020-05-27,151767,64426,4337,83004
2020-05-28,158333,67692,4531,86110
2020-05-29,165799,71106,4706,89987
2020-05-30,173763,82370,4971,86422
2020-05-31,182143,86984,5164,89995
2020-06-01,190535,91819,5394,93322
2020-06-02,198706,95527,5598,97581
2020-06-03,207615,100303,5815,101497
2020-06-04,216919,104107,6075,106737
2020-06-05,226770,109462,6348,110960
2020-06-06,236657,114073,6642,115942
2020-06-07,246628,119293,6929,120406
2020-06-08,256611,124430,7200,124981
2020-06-09,266598,129314,7471,129813
2020-06-10,276583,135206,7745,133632
2020-06-11,286579,141029,8102,137448
2020-06-12,297535,147195,8498,141842
2020-06-13,308993,154330,8884,145779
2020-06-14,320922,162379,9195,149348
2020-06-15,332424,169798,9520,153106
2020-06-16,343091,180013,9900,153178
2020-06-17,354065,186935,11903,155227
2020-06-18,366946,194325,12237,160384
2020-06-19,380532,204711,12573,163248
2020-06-20,395048,213831,12948,168269
2020-06-21,410461,227756,13254,169451
2020-06-22,425282,237196,13699,174387
2020-06-23,440215,248190,14011,178014
